time,grid_load,soc
0.0,33.324444444444445,0.272
1.0,33.324444444444445,0.543
2.0,33.324444444444445,0.815
3.0,33.324444444444445,1.087
4.0,33.324444444444445,1.358
5.0,33.324444444444445,1.63
6.0,33.324444444444445,1.902
7.0,33.324444444444445,2.173
8.0,33.324444444444445,2.445
9.0,33.324444444444445,2.717
10.0,33.324444444444445,2.988
11.0,33.324444444444445,3.26
12.0,33.324444444444445,3.532
13.0,33.324444444444445,3.803
14.0,33.324444444444445,4.075
15.0,33.324444444444445,4.347
16.0,33.324444444444445,4.618
17.0,33.324444444444445,4.89
18.0,33.324444444444445,5.162
19.0,33.324444444444445,5.433
20.0,33.324444444444445,5.705
21.0,33.324444444444445,5.977
22.0,33.324444444444445,6.248
23.0,33.324444444444445,6.52
24.0,33.324444444444445,6.792
25.0,33.324444444444445,7.063
26.0,33.324444444444445,7.335
27.0,33.324444444444445,7.607
28.0,33.324444444444445,7.878
29.0,33.324444444444445,8.15
30.0,33.324444444444445,8.422
31.0,33.324444444444445,8.693
32.0,33.324444444444445,8.965
33.0,33.324444444444445,9.237
34.0,33.324444444444445,9.508
35.0,33.324444444444445,9.78
36.0,33.324444444444445,10.052
37.0,33.324444444444445,10.323
38.0,33.324444444444445,10.595
39.0,33.324444444444445,10.867
40.0,33.324444444444445,11.138
41.0,33.324444444444445,11.41
42.0,33.324444444444445,11.682
43.0,33.324444444444445,11.953
44.0,33.324444444444445,12.225
45.0,33.324444444444445,12.497
46.0,33.324444444444445,12.768
47.0,33.324444444444445,13.04
48.0,33.324444444444445,13.312
49.0,33.324444444444445,13.583
50.0,33.324444444444445,13.855
51.0,33.324444444444445,14.127
52.0,33.324444444444445,14.398
53.0,33.324444444444445,14.67
54.0,33.324444444444445,14.942
55.0,33.324444444444445,15.213
56.0,33.324444444444445,15.485
57.0,33.324444444444445,15.757
58.0,33.324444444444445,16.028
59.0,33.324444444444445,16.3
60.0,33.324444444444445,16.572
61.0,33.324444444444445,16.843
62.0,33.324444444444445,17.115
63.0,33.324444444444445,17.387
64.0,33.324444444444445,17.658
65.0,33.324444444444445,17.93
66.0,33.324444444444445,18.202
67.0,33.324444444444445,18.473
68.0,33.324444444444445,18.745
69.0,33.324444444444445,19.017
70.0,33.324444444444445,19.288
71.0,33.324444444444445,19.56
72.0,33.324444444444445,19.832
73.0,33.324444444444445,20.103
74.0,33.324444444444445,20.375
75.0,33.324444444444445,20.647
76.0,33.324444444444445,20.918
77.0,33.324444444444445,21.19
78.0,33.324444444444445,21.462
79.0,33.324444444444445,21.733
80.0,33.324444444444445,22.005
81.0,33.324444444444445,22.277
82.0,33.324444444444445,22.548
83.0,33.324444444444445,22.82
84.0,33.324444444444445,23.092
85.0,33.324444444444445,23.363
86.0,33.324444444444445,23.635
87.0,33.324444444444445,23.907
88.0,33.324444444444445,24.178
89.0,33.324444444444445,24.45
90.0,33.324444444444445,24.722
91.0,33.324444444444445,24.993
92.0,33.324444444444445,25.265
93.0,33.324444444444445,25.537
94.0,33.324444444444445,25.808
95.0,33.324444444444445,26.08
96.0,33.324444444444445,26.352
97.0,33.324444444444445,26.623
98.0,33.324444444444445,26.895
99.0,33.324444444444445,27.167
100.0,33.324444444444445,27.438
101.0,33.324444444444445,27.71
102.0,33.324444444444445,27.982
103.0,33.324444444444445,28.253
104.0,33.324444444444445,28.525
105.0,33.324444444444445,28.797
106.0,33.324444444444445,29.068
107.0,33.324444444444445,29.34
108.0,33.324444444444445,29.612
109.0,33.324444444444445,29.883
110.0,33.324444444444445,30.155
111.0,33.324444444444445,30.427
112.0,33.324444444444445,30.698
113.0,33.324444444444445,30.97
114.0,33.324444444444445,31.242
115.0,33.324444444444445,31.513
116.0,33.324444444444445,31.785
117.0,33.324444444444445,32.057
118.0,33.324444444444445,32.328
119.0,33.324444444444445,32.6
120.0,33.324444444444445,32.872
121.0,33.324444444444445,33.143
122.0,33.324444444444445,33.415
123.0,33.324444444444445,33.687
124.0,33.324444444444445,33.958
125.0,33.324444444444445,34.23
126.0,33.324444444444445,34.502
127.0,33.324444444444445,34.773
128.0,33.324444444444445,35.045
129.0,33.324444444444445,35.317
130.0,33.324444444444445,35.588
131.0,33.324444444444445,35.86
132.0,33.324444444444445,36.132
133.0,33.324444444444445,36.403
134.0,33.324444444444445,36.675
135.0,33.324444444444445,36.947
136.0,33.324444444444445,37.218
137.0,33.324444444444445,37.49
138.0,33.324444444444445,37.762
139.0,33.324444444444445,38.033
140.0,33.324444444444445,38.305
141.0,33.324444444444445,38.577
142.0,33.324444444444445,38.848
143.0,33.324444444444445,39.12
144.0,33.324444444444445,39.392
145.0,33.324444444444445,39.663
146.0,33.324444444444445,39.935
147.0,33.324444444444445,40.207
148.0,33.324444444444445,40.478
149.0,33.324444444444445,40.75
150.0,33.324444444444445,41.022
151.0,33.324444444444445,41.293
152.0,33.324444444444445,41.565
153.0,33.324444444444445,41.837
154.0,33.324444444444445,42.108
155.0,33.324444444444445,42.38
156.0,33.324444444444445,42.652
157.0,33.324444444444445,42.923
158.0,33.324444444444445,43.195
159.0,33.324444444444445,43.467
160.0,33.324444444444445,43.738
161.0,33.324444444444445,44.01
162.0,33.324444444444445,44.282
163.0,33.324444444444445,44.553
164.0,33.324444444444445,44.825
165.0,33.324444444444445,45.097
166.0,33.324444444444445,45.368
167.0,33.324444444444445,45.64
168.0,33.324444444444445,45.912
169.0,33.324444444444445,46.183
170.0,33.324444444444445,46.455
171.0,33.324444444444445,46.727
172.0,33.324444444444445,46.998
173.0,33.324444444444445,47.27
174.0,33.324444444444445,47.542
175.0,33.324444444444445,47.813
176.0,33.324444444444445,48.085
177.0,33.324444444444445,48.357
178.0,33.324444444444445,48.628
179.0,33.324444444444445,48.9
180.0,33.324444444444445,49.172
181.0,33.324444444444445,49.443
182.0,33.324444444444445,49.715
183.0,33.324444444444445,49.987
184.0,33.324444444444445,50.258
185.0,33.324444444444445,50.53
186.0,33.324444444444445,50.802
187.0,33.324444444444445,51.073
188.0,33.324444444444445,51.345
189.0,33.324444444444445,51.617
190.0,33.324444444444445,51.888
191.0,33.324444444444445,52.16
192.0,33.324444444444445,52.432
193.0,33.324444444444445,52.703
194.0,33.324444444444445,52.975
195.0,33.324444444444445,53.247
196.0,33.324444444444445,53.518
197.0,33.324444444444445,53.79
198.0,33.324444444444445,54.062
199.0,33.324444444444445,54.333
200.0,33.324444444444445,54.605
201.0,33.324444444444445,54.877
202.0,33.324444444444445,55.148
203.0,33.324444444444445,55.42
204.0,33.324444444444445,55.692
205.0,33.324444444444445,55.963
206.0,33.324444444444445,56.235
207.0,33.324444444444445,56.507
208.0,33.324444444444445,56.778
209.0,33.324444444444445,57.05
210.0,33.324444444444445,57.322
211.0,33.324444444444445,57.593
212.0,33.324444444444445,57.865
213.0,33.324444444444445,58.137
214.0,33.324444444444445,58.408
215.0,33.324444444444445,58.68
216.0,33.324444444444445,58.952
217.0,33.324444444444445,59.223
218.0,33.324444444444445,59.495
219.0,33.324444444444445,59.767
220.0,33.324444444444445,60.038
221.0,33.324444444444445,60.31
222.0,33.324444444444445,60.582
223.0,33.324444444444445,60.853
224.0,33.324444444444445,61.125
225.0,33.324444444444445,61.397
226.0,33.324444444444445,61.668
227.0,33.324444444444445,61.94
228.0,33.324444444444445,62.212
229.0,33.324444444444445,62.483
230.0,33.324444444444445,62.755
231.0,33.324444444444445,63.027
232.0,33.324444444444445,63.298
233.0,33.324444444444445,63.57
234.0,33.324444444444445,63.842
235.0,33.324444444444445,64.113
236.0,33.324444444444445,64.385
237.0,33.324444444444445,64.657
238.0,33.324444444444445,64.928
239.0,33.324444444444445,65.2
240.0,33.324444444444445,65.472
241.0,33.324444444444445,65.743
242.0,33.324444444444445,66.015
243.0,33.324444444444445,66.287
244.0,33.324444444444445,66.558
245.0,33.324444444444445,66.83
246.0,33.324444444444445,67.102
247.0,33.324444444444445,67.373
248.0,33.324444444444445,67.645
249.0,33.324444444444445,67.917
250.0,33.324444444444445,68.188
251.0,33.324444444444445,68.46
252.0,33.324444444444445,68.732
253.0,33.324444444444445,69.003
254.0,33.324444444444445,69.275
255.0,33.324444444444445,69.547
256.0,33.324444444444445,69.818
257.0,33.324444444444445,70.09
258.0,33.324444444444445,70.362
259.0,33.324444444444445,70.633
260.0,33.324444444444445,70.905
261.0,33.324444444444445,71.177
262.0,33.324444444444445,71.448
263.0,33.324444444444445,71.72
264.0,33.324444444444445,71.992
265.0,33.324444444444445,72.263
266.0,33.324444444444445,72.535
267.0,33.324444444444445,72.807
